,RECHARGE_VALUE,MIN_RECHARGE_AVG,P2_MADE_CALLS_DURATION,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,P23_PERC_DAYS_MADE_CALLS_OTT,WEEKDAY_PERC_INTERNET_MB,WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,AGE_TYPE
0,440.0,46.67,174.0,93.98,8.0,9.0,43.0,9.0,70.11,18.98,21.82,0.1,3
1,50.0,15.0,83.0,44.44,11.0,11.0,40.0,13.0,8.0,78.8,13.21,0.11,4
2,550.0,50.0,186.0,62.5,24.0,24.0,37.0,7.0,79.49,18.51,28.74,0.0,9
3,400.0,100.0,432.0,31.43,6.0,6.0,54.0,1.0,63.01,26.91,23.55,0.27,9
4,410.0,70.0,70.0,29.03,11.0,11.0,19.0,16.0,81.01,37.45,25.0,0.01,8
5,600.0,100.0,396.0,97.62,20.0,21.0,48.0,5.0,82.35,26.0,25.78,0.04,5
6,190.0,20.0,63.0,84.09,4.0,4.0,51.0,6.0,18.18,32.32,12.01,0.47,6
7,55.099641625996895,38.299182481433796,25.0,0.0,0.0,0.0,43.0,9.0,0.0,0.0,0.0,0.0,4
8,400.0,100.0,91.0,44.16,7.0,6.0,50.0,4.0,76.19,76.88,23.74,0.52,9
9,550.0,50.0,587.0,36.36,40.0,40.0,26.0,3.0,79.25,15.06,22.94,0.02,7
10,320.0,73.33,849.0,90.91,14.0,17.0,51.0,3.0,92.31,14.47,23.96,1.18,10
11,461.28063466411,102.414155671253,0.0,100.0,28.0,27.0,56.0,19.0,0.0,90.86,15.2,0.0,4
12,650.0,50.0,255.0,85.53,33.0,35.0,39.0,10.0,64.29,6.15,28.33,0.21,7
13,500.0,100.0,316.0,98.7,13.0,14.0,41.0,5.0,52.94,59.77,26.86,0.24,5
14,500.0,100.0,51.0,100.0,25.0,24.0,11.0,4.0,60.0,21.91,22.02,0.01,6
15,403.009289976215,94.7945959891949,60.0,100.0,0.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,3
16,500.0,75.0,121.0,95.06,21.0,21.0,35.0,6.0,56.98,11.61,32.49,0.15,6
17,90.0,30.0,548.0,82.35,14.0,14.0,57.0,5.0,61.11,24.77,28.0,0.03,5
18,430.0,60.0,43.0,100.0,25.0,24.0,57.0,7.0,35.0,9.65,22.35,0.37,5
19,-135.852539026991,118.84765916683997,0.0,100.0,24.0,23.0,0.0,0.0,0.0,18.26,15.58,0.0,7
20,550.0,50.0,791.0,100.0,21.0,20.0,35.0,4.0,83.91,16.64,23.74,0.12,8
21,400.0,100.0,581.0,26.98,10.0,7.0,36.0,5.0,82.89,57.94,23.53,0.03,9
22,170.0,30.0,153.0,0.0,0.0,0.0,26.0,9.0,83.67,0.0,0.0,0.0,3
23,600.0,200.0,267.0,98.85,16.0,18.0,46.0,9.0,71.26,22.24,19.4,0.03,3
24,160.0,10.0,171.0,52.63,19.0,18.0,31.0,18.0,25.0,99.99,15.83,0.0,3
25,916.1,40.0,325.0,95.12,23.0,23.0,47.0,6.0,52.33,14.87,21.55,0.57,7
26,400.0,100.0,321.0,53.09,10.0,11.0,30.0,4.0,98.84,16.19,23.8,1.5,7
27,100.0,50.0,77.0,84.62,5.0,5.0,46.0,7.0,16.67,4.36,22.69,0.04,8
28,300.0,100.0,11.0,100.0,17.0,18.0,20.0,9.0,15.15,24.97,23.11,0.0,9
29,200.0,100.0,40.0,77.08,21.0,23.0,34.0,10.0,47.17,6.16,24.8,0.17,5
30,250.0,50.0,34.0,96.67,10.0,15.0,20.0,6.0,22.92,27.25,20.98,0.04,5
31,630.0,30.0,15.0,100.0,27.0,26.0,37.0,10.0,16.09,15.26,23.6,0.26,4
32,360.0,13.33,130.0,98.77,2.0,2.0,56.0,7.0,39.51,9.24,19.76,0.07,5
33,100.0,50.0,35.0,89.66,16.0,16.0,35.0,9.0,11.76,1.2,20.86,0.32,2
34,400.0,100.0,131.0,83.13,6.0,6.0,48.0,4.0,77.01,48.3,23.79,0.0,8
35,570.0,40.0,137.0,75.68,16.0,16.0,42.0,7.0,34.38,19.06,23.46,0.04,4
36,520.0,73.33,1115.0,97.7,22.0,23.0,56.0,3.0,94.25,17.07,23.24,0.2,7
37,800.0,50.0,40.0,6.67,15.0,15.0,32.0,5.0,71.79,79.47,0.0,0.0,10
38,60.0,20.0,190.0,97.78,23.0,20.0,35.0,8.0,0.0,42.44,16.2,0.09,4
39,300.0,50.0,885.0,0.0,0.0,0.0,36.0,7.0,81.25,0.0,0.0,0.0,8
40,780.0,60.0,96.0,97.65,24.0,24.0,35.0,14.0,12.79,10.45,23.44,0.04,10
41,400.0,50.0,46.0,100.0,24.0,23.0,47.0,10.0,0.0,18.36,34.62,0.11,2
42,30.0,30.0,0.0,96.97,18.0,18.0,33.0,21.0,2.08,34.14,15.9,0.13,9
43,430.0,40.0,212.0,100.0,20.0,24.0,39.0,5.0,31.76,20.43,16.74,0.41,2
44,100.0,100.0,486.0,97.96,9.0,10.0,46.0,7.0,74.0,49.33,26.03,0.25,3
45,1150.0,57.5,93.0,93.33,9.0,9.0,66.0,2.0,71.05,37.7,24.16,0.37,7
46,300.0,100.0,62.0,88.89,21.0,19.0,41.0,5.0,60.71,99.69,14.5,0.0,10
47,400.0,100.0,109.0,65.45,21.0,21.0,59.0,5.0,49.23,11.6,26.96,0.41,7
48,600.0,200.0,64.0,100.0,20.0,23.0,53.0,6.0,62.07,20.83,20.56,0.02,5
49,850.0,83.33,230.0,100.0,24.0,25.0,45.0,4.0,48.84,99.52,15.09,0.0,10
50,470.0,22.5,932.0,61.82,21.0,22.0,37.0,3.0,82.76,7.46,16.72,1.61,2
51,620.0,73.33,380.0,100.0,13.0,12.0,39.0,6.0,72.09,27.25,29.69,0.4,4
52,300.0,100.0,187.0,92.94,11.0,11.0,44.0,6.0,85.06,46.55,25.16,0.34,8
53,200.0,50.0,0.0,100.0,26.0,27.0,60.0,20.0,0.0,25.03,21.31,0.04,7
54,400.0,100.0,26.0,67.44,24.0,26.0,63.0,9.0,36.73,98.55,13.55,0.25,10
55,290.0,40.0,101.0,20.0,2.0,2.0,38.0,3.0,86.36,50.32,20.99,0.01,8
56,400.0,100.0,217.0,98.85,26.0,24.0,57.0,3.0,56.32,84.58,18.2,0.16,10
57,300.0,100.0,41.0,8.16,21.0,22.0,47.0,7.0,65.0,8.69,16.67,0.0,10
58,600.0,200.0,129.0,98.85,24.0,25.0,35.0,10.0,78.16,43.67,27.03,0.06,6
59,360.0,25.0,357.0,67.86,20.0,23.0,47.0,3.0,65.0,38.63,27.22,0.03,9
60,190.0,22.5,32.0,51.43,13.0,15.0,41.0,6.0,31.11,100.0,15.38,0.0,7
61,100.0,20.0,28.0,55.56,8.0,8.0,24.0,3.0,63.64,72.71,30.43,0.0,4
62,89.0438327163691,-1.3240865124437,70.0,0.0,0.0,0.0,39.0,8.0,0.0,0.0,0.0,0.0,6
63,30.0,30.0,21.0,100.0,25.0,24.0,42.0,2.0,4.0,50.6,16.9,0.0,7
64,650.0,65.0,1578.0,100.0,25.0,25.0,37.0,4.0,90.8,23.86,24.78,0.06,10
65,450.0,75.0,16.0,100.0,28.0,27.0,64.0,8.0,20.25,21.07,27.26,0.61,7
66,500.0,50.0,286.0,17.07,16.0,29.0,47.0,8.0,95.29,99.16,15.71,0.0,5
67,400.0,50.0,14.0,50.0,24.0,23.0,34.0,6.0,38.46,25.61,25.0,0.0,9
68,400.0,50.0,893.0,100.0,13.0,13.0,43.0,3.0,65.12,24.18,26.65,0.01,8
69,600.0,200.0,273.0,97.47,24.0,24.0,51.0,3.0,45.88,66.14,22.08,0.25,4
70,1030.0,41.43,84.0,83.91,25.0,25.0,30.0,18.0,62.07,8.72,24.94,0.34,5
71,300.0,100.0,1172.0,100.0,23.0,24.0,48.0,4.0,97.7,8.72,25.49,0.02,9
72,400.0,100.0,233.0,54.65,21.0,21.0,53.0,4.0,93.1,95.11,12.3,0.03,7
73,200.0,100.0,24.0,56.1,25.0,27.0,64.0,6.0,63.83,27.39,22.88,0.0,7
74,200.0,100.0,193.0,84.85,5.0,5.0,42.0,7.0,46.15,15.36,24.43,0.65,8
75,444.195257250446,-13.0335552691182,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,9
76,300.0,100.0,103.0,0.0,50.0,50.0,29.0,15.0,79.07,100.0,0.0,0.0,7
77,1290.0,46.25,113.0,100.0,14.0,15.0,42.0,8.0,64.37,5.14,25.57,0.17,4
78,400.0,50.0,337.0,97.67,19.0,15.0,38.0,11.0,86.21,10.07,15.01,0.14,5
79,450.0,75.0,703.0,78.21,9.0,10.0,49.0,4.0,67.07,19.27,25.25,0.07,7
80,720.0,28.75,242.0,98.84,23.0,23.0,34.0,9.0,47.67,10.39,24.67,1.6,3
81,400.0,100.0,713.0,97.7,12.0,12.0,38.0,7.0,83.91,26.88,28.52,0.48,7
82,400.0,100.0,259.0,96.3,3.0,3.0,48.0,5.0,69.05,20.45,23.52,0.03,6
83,300.0,100.0,89.0,0.0,0.0,0.0,49.0,11.0,57.14,100.0,0.0,0.0,8
84,700.0,50.0,93.0,90.79,13.0,15.0,29.0,9.0,51.85,18.51,29.74,0.02,4
85,570.0,42.5,190.0,91.03,16.0,16.0,35.0,4.0,96.3,15.53,24.56,0.06,3
86,200.0,100.0,161.0,4.55,17.0,17.0,39.0,4.0,69.23,90.83,16.67,0.0,5
87,200.0,50.0,21.0,100.0,21.0,20.0,35.0,8.0,3.7,13.46,16.5,0.06,3
88,430.0,30.0,275.0,85.29,10.0,10.0,42.0,4.0,49.41,20.12,24.04,0.89,4
89,570.0,60.0,14.0,98.68,19.0,21.0,36.0,34.0,1.32,20.43,16.46,0.04,3
90,380.0,40.0,5.0,100.0,19.0,19.0,23.0,31.0,14.81,7.68,23.58,3.96,2
91,580.0,40.0,975.0,97.33,19.0,20.0,43.0,4.0,80.25,12.08,20.99,0.33,5
92,260.0,20.0,93.0,100.0,22.0,23.0,45.0,5.0,22.99,39.3,17.3,0.11,4
93,140.0,30.0,405.0,100.0,38.0,34.0,26.0,3.0,16.13,23.12,15.96,0.04,6
