,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
0,440.0,62.86,46.67,0.01,115.0,93.98,11.41,9.0,43.0,18.98,0.0,23.1,13.94,10.51,0.1,0
1,50.0,16.67,15.0,0.0,2.0,44.44,14.07,11.0,40.0,78.8,0.0,24.36,82.11,12.7,0.11,0
2,550.0,61.11,50.0,0.02,259.0,62.5,0.0,24.0,37.0,18.51,0.02,11.32,0.0,11.6,0.0,0
3,400.0,100.0,100.0,0.0,355.0,31.43,0.53,6.0,54.0,26.91,0.0,21.49,3.36,10.24,0.27,0
4,410.0,82.0,70.0,0.0,474.0,29.03,0.29,11.0,19.0,37.45,0.0,18.85,0.4,10.29,0.01,0
5,600.0,100.0,100.0,0.0,521.0,97.62,3.18,21.0,48.0,26.0,0.0,22.99,0.46,10.28,0.04,0
6,190.0,47.5,20.0,0.0,14.0,84.09,70.68,4.0,51.0,32.32,0.0,27.35,92.72,12.35,0.47,0
7,,,,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,16.67,0.0,0.0,0.0,0
8,400.0,100.0,100.0,0.16,149.0,44.16,39.97,6.0,50.0,76.88,0.08,21.5,46.81,10.14,0.52,0
9,550.0,61.11,50.0,0.0,536.0,36.36,0.4,40.0,26.0,15.06,0.0,19.08,0.39,10.74,0.02,0
10,320.0,80.0,73.33,0.0,839.0,90.91,90.13,17.0,51.0,14.47,0.0,24.25,76.16,11.46,1.18,0
11,,,,0.0,0.0,100.0,10.0,27.0,56.0,90.86,0.0,17.29,0.0,15.05,0.0,0
12,650.0,54.17,50.0,0.0,267.0,85.53,3.13,35.0,39.0,6.15,0.0,25.61,1.71,6.9,0.21,0
13,500.0,125.0,100.0,0.0,119.0,98.7,3.31,14.0,41.0,59.77,0.0,23.08,5.08,8.81,0.24,0
14,500.0,100.0,100.0,0.0,72.0,100.0,0.43,24.0,11.0,21.91,0.0,22.28,0.35,12.54,0.01,0
15,,,,0.0,0.0,100.0,0.0,0.0,55.0,0.0,0.0,16.67,0.0,0.0,0.0,0
16,500.0,83.33,75.0,0.0,708.0,95.06,3.2,21.0,35.0,11.61,0.0,29.05,2.29,8.99,0.15,0
17,90.0,30.0,30.0,0.0,25.0,82.35,4.13,14.0,57.0,24.77,0.0,25.98,0.8,3.77,0.03,0
