,RECHARGE_VALUE,RECHARGE_AVG,COUNT_HAS_RECHARGE,SOCIAL_NETWORK_MB,INSTAGRAM_MB,PERC_SOCIAL_NETWORK_MB,PERC_WHATSAPP_MB,PERC_INTERNET_MB,SOCIAL_NETWORK_MB_BY_SESSION,PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_DAYS_MADE_CALLS_OTT,P1_SOCIAL_NETWORK_MB,P1_PERC_WHATSAPP_SESSIONS,P1_PERC_INTERNET_SESSIONS,P1_SOCIAL_NETWORK_MB_BY_SESSION,P2_MADE_CALLS,P2_MADE_CALLS_DURATION,P2_PERC_RECEIVED_CALLS_DURATION,P3_MADE_CALLS_DURATION,P3_SOCIAL_NETWORK_MB_BY_SESSION,P3_PERC_DAYS_MADE_CALLS_OTT,P4_INSTAGRAM_MB,P4_WHATSAPP_MB_BY_SESSION,P4_PERC_DAYS_MADE_CALLS_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_P1_INTERNET_MB_BY_TOTAL,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_MADE_CALLS_IN_P2,PERC_P2_MADE_CALLS_BY_TOTAL,PERC_P2_MADE_CALLS_DURATION_BY_TOTAL,PERC_INSTAGRAM_MB_IN_P3,PERC_WHATSAPP_MB_IN_P4,PERC_RECEIVED_CALLS_DURATION_IN_P4,PERC_P4_WHATSAPP_SESSIONS_BY_TOTAL,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,WEEKEND_HOLYDAY_INTERNET_MB,WEEKEND_HOLYDAY_WHATSAPP_MB_BY_SESSION,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G,AGE
0,440.0,62.86,3.0,587.39,0.01,65.98,17.15,16.86,1.17,98.85,82.76,20.45,23.71,24.23,0.5,115.0,174.0,51.26,104.0,1.39,53.49,0.01,0.16,37.33,8.0,1.0,43.0,25.0,10.0,21.0,0.0,13.0,18.0,6.0,9.0,16.5,0.59,0.1,0,24
1,50.0,16.67,2.0,0.33,0.0,0.88,26.12,73.0,0.01,44.44,5.56,0.06,26.92,23.08,0.02,2.0,83.0,59.11,127.0,0.0,0.0,0.0,0.18,0.0,11.0,2.0,40.0,100.0,3.0,13.0,0.0,43.0,28.0,9.0,13.0,0.55,0.11,0.11,0,25
2,550.0,61.11,3.0,3176.19,0.02,80.61,0.0,19.39,7.07,87.5,88.75,860.74,10.68,27.95,8.04,259.0,186.0,32.85,158.0,5.22,61.97,0.0,0.0,64.0,24.0,5.0,37.0,21.0,15.0,21.0,0.0,0.0,25.0,3.0,7.0,212.9,0.0,0.0,0,52
3,400.0,100.0,3.0,263.94,0.0,67.79,6.08,26.12,1.94,58.97,64.1,13.12,22.22,22.22,1.64,355.0,432.0,26.03,118.0,1.28,49.25,0.0,0.03,42.11,6.0,0.0,54.0,45.0,35.0,48.0,0.0,6.0,5.0,8.0,1.0,68.88,0.19,0.27,0,52
4,410.0,82.0,3.0,377.83,0.0,62.22,0.27,37.51,2.15,53.01,89.16,35.67,20.48,24.1,1.88,474.0,70.0,45.31,169.0,1.07,68.06,0.0,0.01,69.44,11.0,5.0,19.0,34.0,22.0,10.0,0.0,18.0,38.0,7.0,16.0,34.23,0.01,0.01,0,47
5,600.0,100.0,3.0,3626.12,0.0,68.65,4.43,26.92,5.84,100.0,85.88,428.33,20.98,20.39,3.51,521.0,396.0,32.54,359.0,6.16,61.64,0.0,0.29,25.37,20.0,7.0,48.0,48.0,36.0,28.0,0.0,16.0,19.0,5.0,5.0,331.94,0.12,0.04,0,33
6,190.0,47.5,3.0,11.71,0.0,5.4,70.16,24.44,0.11,91.53,27.12,0.0,27.78,27.78,0.0,14.0,63.0,35.05,25.0,0.0,7.14,0.0,0.28,23.33,4.0,1.0,51.0,22.0,13.0,33.0,0.0,9.0,16.0,5.0,6.0,5.72,0.69,0.47,0,38
7,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,46.81,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,26.0,0.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,0,27
8,400.0,100.0,3.0,70.4,0.16,17.35,12.32,70.29,0.24,97.65,80.0,1.48,20.51,24.36,0.08,149.0,91.0,47.4,90.0,0.22,30.99,0.0,0.6,40.74,7.0,1.0,50.0,39.0,26.0,21.0,69.0,47.0,10.0,3.0,4.0,132.59,0.36,0.52,0,50
9,550.0,61.11,3.0,762.7,0.0,84.91,0.32,14.74,4.31,74.65,77.46,355.92,21.64,22.62,5.01,536.0,587.0,8.14,494.0,4.84,63.83,0.0,0.01,50.0,40.0,5.0,26.0,31.0,26.0,30.0,0.0,23.0,25.0,7.0,3.0,41.93,0.02,0.02,0,40
