"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"1",0,440,46.67,174,93.98,8,9,43,9,70.11,18.98,21.82,0.1,24
"2",1,50,15,83,44.44,11,11,40,13,8,78.8,13.21,0.11,25
"3",2,550,50,186,62.5,24,24,37,7,79.49,18.51,28.74,0,52
"4",3,400,100,432,31.43,6,6,54,1,63.01,26.91,23.55,0.27,52
"5",4,410,70,70,29.03,11,11,19,16,81.01,37.45,25,0.01,47
"6",5,600,100,396,97.62,20,21,48,5,82.35,26,25.78,0.04,33
"7",6,190,20,63,84.09,4,4,51,6,18.18,32.32,12.01,0.47,38
"8",7,55.0996416259969,38.2991824814338,25,0,0,0,43,9,0,0,0,0,27
"9",8,400,100,91,44.16,7,6,50,4,76.19,76.88,23.74,0.52,50
"10",9,550,50,587,36.36,40,40,26,3,79.25,15.06,22.94,0.02,40
"11",10,320,73.33,849,90.91,14,17,51,3,92.31,14.47,23.96,1.18,60
"12",11,461.28063466411,102.414155671253,0,100,28,27,56,19,0,90.86,15.2,0,26
"13",12,650,50,255,85.53,33,35,39,10,64.29,6.15,28.33,0.21,40
"14",13,500,100,316,98.7,13,14,41,5,52.94,59.77,26.86,0.24,31
"15",14,500,100,51,100,25,24,11,4,60,21.91,22.02,0.01,36
"16",15,403.009289976215,94.7945959891949,60,100,0,0,55,4,0,0,0,0,20
"17",16,500,75,121,95.06,21,21,35,6,56.98,11.61,32.49,0.15,38
"18",17,90,30,548,82.35,14,14,57,5,61.11,24.77,28,0.03,31
"19",20,430,60,43,100,25,24,57,7,35,9.65,22.35,0.37,33
"20",23,-135.852539026991,118.84765916684,0,100,24,23,0,0,0,18.26,15.58,0,40
"21",24,550,50,791,100,21,20,35,4,83.91,16.64,23.74,0.12,47
"22",25,400,100,581,26.98,10,7,36,5,82.89,57.94,23.53,0.03,53
"23",26,170,30,153,0,0,0,26,9,83.67,0,0,0,21
"24",28,600,200,267,98.85,16,18,46,9,71.26,22.24,19.4,0.03,24
"25",29,160,10,171,52.63,19,18,31,18,25,99.99,15.83,0,23
"26",30,916.1,40,325,95.12,23,23,47,6,52.33,14.87,21.55,0.57,40
"27",31,400,100,321,53.09,10,11,30,4,98.84,16.19,23.8,1.5,41
"28",32,100,50,77,84.62,5,5,46,7,16.67,4.36,22.69,0.04,47
"29",33,300,100,11,100,17,18,20,9,15.15,24.97,23.11,0,53
"30",34,200,100,40,77.08,21,23,34,10,47.17,6.16,24.8,0.17,33
"31",35,250,50,34,96.67,10,15,20,6,22.92,27.25,20.98,0.04,34
"32",36,630,30,15,100,27,26,37,10,16.09,15.26,23.6,0.26,27
"33",37,360,13.33,130,98.77,2,2,56,7,39.51,9.24,19.76,0.07,30
"34",39,100,50,35,89.66,16,16,35,9,11.76,1.2,20.86,0.32,17
"35",40,400,100,131,83.13,6,6,48,4,77.01,48.3,23.79,0,46
"36",41,570,40,137,75.68,16,16,42,7,34.38,19.06,23.46,0.04,27
"37",43,520,73.33,1115,97.7,22,23,56,3,94.25,17.07,23.24,0.2,43
"38",44,800,50,40,6.67,15,15,32,5,71.79,79.47,0,0,55
"39",45,60,20,190,97.78,23,20,35,8,0,42.44,16.2,0.09,28
"40",46,300,50,885,0,0,0,36,7,81.25,0,0,0,49
